Mean square error
0.010729267228652459
Point,X(mm),Y(mm),Z(mm),dX(mm),dY(mm),dZ(mm),dP(mm)
4408,2659.807971261396,-389.01227182623205,-4906.299406650549,0.06623674619184229,0.06415369805866339,0.20873142812928264,0.2281924902567448
4409,2660.900124261563,-658.8033023914015,-4907.415682619884,0.06591540903374879,0.06619977830326294,0.20786688068946285,0.22789447532367904
4410,2660.0805405578726,-1039.4044167899756,-4907.037949463904,0.06597822761415581,0.07246265982600202,0.20711361531888786,0.22912881363683726
3402,2660.046502383137,1662.0917437625058,-5413.4317943683145,0.07437801290015923,0.11042863485336095,0.2568781006962393,0.28933186968576485
3403,2661.3370261460072,1371.1811468507924,-5410.800988289588,0.07477568037110546,0.1001177433567016,0.255687386517405,0.2845891855533182
3404,2664.613587721191,912.8682838033542,-5417.263594803807,0.07379281790862835,0.08561914182489429,0.2542433012798628,0.27823672235600105
3405,2664.368881273963,470.959573098106,-5418.802666529422,0.07212917928250435,0.07502601981563717,0.2522229743724819,0.27285151814612596
3406,2663.2528939213757,169.74941171290163,-5417.716170627541,0.07120745517404097,0.07012900872016072,0.2506517607975749,0.26984233308982514
3407,2662.387861582865,-130.3195434781257,-5415.435524821507,0.07099937932217981,0.06812147168735659,0.2494620955282304,0.268165590399518
3408,2659.5729564083867,-430.39478244465596,-5415.957754726815,0.0711714818516929,0.06953246852391846,0.24893608663185401,0.2680845374794628
3409,2660.3551942677877,-730.9472762298382,-5414.346036514143,0.07188085471223847,0.07344078192243443,0.2485749086897634,0.2689793504224157
2401,2658.872694098411,1785.8928008134246,-5907.146843399251,0.08120061886425835,0.12410669602978634,0.30165071741642696,0.33613861399906647
2402,2661.3318726984585,1365.6697384863958,-5909.99777915265,0.07898964154682668,0.10711096751575111,0.2993133242433727,0.32756768598791125
2403,2662.734111247288,1040.7911052101213,-5910.533326610328,0.07729489662428884,0.09526870330622862,0.29729895470426226,0.3216166900862838
2404,2663.1852992927393,624.7760119729677,-5912.254405848718,0.07672100652292076,0.08333893763838929,0.29556392716189617,0.31652729172687155
2405,2663.006732732241,285.39202722226025,-5914.332437582009,0.0767781539954339,0.07730781602431323,0.2946950614152759,0.3141919199660438
